68 от 27.12.2018;;07.12.2018;"ООО ""НИЖПРОМПЛАСТ""";5256093525;малое предприятие;финансовая;субсидия; 4 437 581,11   ;2018;
69 от 27.12.2018;;07.12.2018;"ООО ""Давайс""";5258073299;микропредприятие;финансовая;субсидия; 5 000 000,00   ;2018;
70 от 27.12.2018;;07.12.2018;"ЗАО ""Промтехмаш""";5259031559;малое предприятие;финансовая;субсидия; 5 000 000,00   ;2018;
71 от 27.12.2018;;07.12.2018;"ООО ""Континент ЭТС""";5261108921;среднее предприятие;финансовая;субсидия; 5 000 000,00   ;2018;
72 от 27.12.2018;;07.12.2018;"ООО ""Лесснабсбыт""";5262245222;микропредприятие;финансовая;субсидия; 3 113 855,90   ;2018;
73 от 27.12.2018;;07.12.2018;"ООО ""Промышленно-производственная компания"" ";5252032017;микропредприятие;финансовая;субсидия; 4 394 534,00   ;2018;
74 от 27.12.2018;;07.12.2018;"ООО ""ЗАВОД ФОРМПЛАСТ"" ";5246036221;малое предприятие;финансовая;субсидия; 2 563 523,51   ;2018;
75 от 18.11.2019;;01.11.2019;"ООО МФ ""Олимп-мебель""";5258082705;малое предприятие;финансовая;субсидия; 775 000,00   ;2019;
76 от 18.11.2019;;01.11.2019;"ООО ""Новакомстрой"" ";5258031676;среднее предприятие;финансовая;субсидия; 3 555 795,98   ;2019;
77 от 18.11.2019;;01.11.2019;"АО ДЗХО ""Заря""";5249078445;среднее предприятие;финансовая;субсидия; 4 365 009,13   ;2019;
78 от 18.11.2019;;01.11.2019;"ОАО ""Завод труд""";5261005718;среднее предприятие;финансовая;субсидия; 5 000 000,00   ;2019;
79 от 18.11.2019;;11.12.2019;"ООО ""Компания Хома""";5050033392;среднее предприятие;финансовая;субсидия; 817 147,41   ;2019;
80 от 18.11.2019;;11.12.2019;"ООО ""НПК ""Астат""";5249102673;среднее предприятие;финансовая;субсидия; 1 041 666,67   ;2019;
81 от 18.11.2019;;11.12.2019;"ООО Производственная компания ""Селеста""";5258045936;среднее предприятие;финансовая;субсидия; 3 983 117,85   ;2019;
82 от 18.11.2019;;11.12.2019;"ООО ""ВолгаСтальПроект""";5260156231;среднее предприятие;финансовая;субсидия; 3 027 560,58   ;2019;
